date,"New York City, NY","Philadelphia, PA","Baltimore City, MD"
1790,"33131","28522","13503"
1800,"60515","41220","26514"
1810,"96373","53722","46555"
1820,"123706","63802","62738"
1830,"202589","80462","80620"
1840,"312710","93665","102313"
1850,"515547","121376","169054"
1860,"813669","565529","212418"
1870,"942292","674022","267354"
1880,"1206299","847170","332313"
1890,"1515301","1046964","434439"
1900,"3437202","1293697","508957"
1910,"4766883","1549008","558485"
1920,"5620048","1823779","733826"
1930,"6930446","1950961","804874"
1940,"7454995","1931334","859100"
1950,"7891957","2071605","949708"
1960,"7781984","2002512","939024"
1970,"7895563","1949996","905787"
1980,"7071639","1688210","786741"
1990,"7322564","1585577","736014"
2000,"8008278","1517550","651154"
2010,"8175133","1526006","620961"
